Page / Component,Metric,Calculation Logic,Data Dependencies,Example Data Values
Portfolio Summary,Total Portfolio Value,Sum of currentMarketValue for all properties,property.currentMarketValue,"[$800000, $550000, $550000]"
Portfolio Summary,Total Estimated Equity,Total portfolio value minus total mortgage balance,property.currentMarketValue + property.mortgage.originalAmount,"[Portfolio Value: $1900000, Mortgage Balance: $1227528.24]"
Portfolio Summary,Total Mortgage Debt,Sum of current mortgage balances across all properties,property.mortgage.originalAmount,"[$443146.14, $358000, $426382.1]"
Portfolio Summary,Monthly Net Cash Flow,Sum of monthly cash flow for all properties,property.monthlyCashFlow,"[$2000, $1403, $2079.01]"
Portfolio Summary,Total Monthly Expenses,Sum of total monthly expenses for all properties,property.monthlyExpenses.total,"[$1450, $897, $320.99]"
Portfolio Summary,Net Operating Income (NOI),Total annual rent minus total annual operating expenses,(property.rent.monthlyRent * 12) - totalAnnualOperatingExpenses,"[Annual Rent: $97800, Operating Expenses: $31441]"
Portfolio Summary,Average Cap Rate,Average of individual property cap rates,property.capRate,"[5.18%, 5.02%, 5.24%]"
Portfolio Summary,Cash on Cash Return,Total annual cash flow divided by total investment,(totalMonthlyCashFlow * 12) / totalInvestment,"[Annual Cash Flow: $54836.12, Total Investment: $1836475.37]"
Portfolio Summary,Total Annual Income,Sum of monthly rent multiplied by 12,property.rent.monthlyRent,"[$3450, $2300, $2400] * 12 = $97800"
Portfolio Summary,Total Annual Expenses,Sum of monthly expenses multiplied by 12,property.monthlyExpenses.total,"[$1450, $897, $320.99] * 12 = $32027.88"
Portfolio Summary,Total Annual Operating Expenses,Sum of operating expenses excluding mortgage payments,(property.monthlyExpenses.propertyTax + condoFees + insurance + maintenance + professionalFees + utilities) * 12,"[Richmond: $14519, Tretti: $8911, Wilson: $8011]"
Portfolio Summary,Total Annual Deductible Expenses,Operating expenses plus mortgage interest for tax purposes,totalAnnualOperatingExpenses + totalAnnualMortgageInterest,"[Operating: $31441, Interest: $18956.24]"
Analytics,Total Portfolio Value,Same as Portfolio Summary,property.currentMarketValue,"[$800000, $550000, $550000]"
Analytics,Monthly Cash Flow,Same as Portfolio Summary,property.monthlyCashFlow,"[$2000, $1403, $2079.01]"
Analytics,Average Cap Rate,Same as Portfolio Summary,property.capRate,"[5.18%, 5.02%, 5.24%]"
Analytics,Total Equity,Same as Portfolio Summary,property.currentMarketValue - property.mortgage.originalAmount,"[Richmond: $356853.86, Tretti: $192000, Wilson: $123617.9]"
Analytics,Net Operating Income (NOI),Same as Portfolio Summary,(property.rent.monthlyRent * 12) - totalAnnualOperatingExpenses,"[Annual Rent: $97800, Operating Expenses: $31441]"
Analytics,Annual Deductible Expenses,Same as Portfolio Summary,totalAnnualOperatingExpenses + totalAnnualMortgageInterest,"[Operating: $31441, Interest: $18956.24]"
Mortgage Calculator,Monthly Payment,Standard amortization formula: P * [r(1+r)^n] / [(1+r)^n - 1],purchasePrice - downPayment + interestRate + amortizationPeriod,"[Principal: $652000, Rate: 5.2%, Term: 25 years]"
Mortgage Calculator,Total Interest,Total payments minus principal amount,monthlyPayment * (amortizationPeriod * 12) - principal,"[Monthly Payment: $3892, Total Payments: $1167600, Principal: $652000]"
Mortgage Calculator,Total Cost,Monthly payment multiplied by total number of payments,monthlyPayment * (amortizationPeriod * 12),"[Monthly Payment: $3892, Total Payments: 300]"
Mortgage Payment Calculator,Monthly Payment,Same as Mortgage Calculator,purchasePrice - downPayment + interestRate + amortizationPeriod,"[Principal: $400000, Rate: 5.5%, Term: 25 years]"
Mortgage Payment Calculator,Total Interest,Same as Mortgage Calculator,monthlyPayment * (amortizationPeriod * 12) - principal,"[Monthly Payment: $2456, Total Payments: $736800, Principal: $400000]"
Mortgage Payment Calculator,Total Cost,Same as Mortgage Calculator,monthlyPayment * (amortizationPeriod * 12),"[Monthly Payment: $2456, Total Payments: 300]"
Mortgage Break Penalty Calculator,Three Months Interest,Current balance multiplied by interest rate divided by 4,balance * contractRate * (3/12),"[Balance: $300000, Rate: 5.0%, Penalty: $3750]"
Mortgage Break Penalty Calculator,Interest Rate Differential (IRD),Balance multiplied by rate difference multiplied by months remaining,balance * (contractRate - comparisonRate) * (monthsRemaining/12),"[Balance: $300000, Rate Diff: 1.5%, Months: 24, IRD: $9000]"
Mortgage Break Penalty Calculator,Total Penalty,Maximum of three months interest or IRD,Math.max(threeMonthsInterest, ird),"[Three Months: $3750, IRD: $9000, Penalty: $9000]"
Sell Property Scenario,Gross Proceeds,Sale price minus selling costs,salePrice - sellingCosts,"[Sale Price: $850000, Selling Costs: $42500]"
Sell Property Scenario,Net Proceeds,Gross proceeds minus mortgage balance,grossProceeds - currentMortgageBalance,"[Gross: $807500, Mortgage: $443146.14, Net: $364353.86]"
